[sym]
index	val	kind	addr
159	begin	6	RW	
160	;	30	RW	
161	v3	ID	3
162	:=	26	RW	
163	1	NUM	11
164	;	30	RW	
165	call	11	RW	
166	p1	ID	5
167	;	30	RW	
168	write	15	RW	
169	(	27	RW	
170	c1	ID	0
171	,	29	RW	
172	c1	ID	0
173	*	18	RW	
174	v1	ID	1
175	,	29	RW	
176	c1	ID	0
177	*	18	RW	
178	v1	ID	1
179	/	19	RW	
180	2	NUM	12
181	)	28	RW	
182	;	30	RW	
183	end	7	RW	
184	;	30	RW	
185	read	14	RW	
186	(	27	RW	
187	v1	ID	1
188	)	28	RW	
189	;	30	RW	
190	v2	ID	2
191	:=	26	RW	
192	v1	ID	1
193	;	30	RW	
194	call	11	RW	
195	p2	ID	7
196	;	30	RW	
197	write	15	RW	
198	(	27	RW	
199	v2	ID	2
200	)	28	RW	
201	;	30	RW	
202	end	7	RW	
203	.	31	RW	

[table]
index	kind	name	val/lev	adr	tp
0	    const	c1	    2	    -	0
1	    var	    v1	    0	    3	0
2	    var 	v2	    0	    4	0
3	    var	    v3	    0	    5	0
4	    var	    v4	    0	    6	0
5   	proc	p1	    0	    1	1
6	    var	    v5	    1	    3	1
7	    proc	p2	    0	    47	2
8	    const	c2	    2	    -	2
9	    proc	p3	    1	    32	3

[code]
index	f	l	a
0	    jmp	0	63
1	    int	0	4
2	    lit	0	2
3	    sto	0	3
4	    lod	0	3
5	    lit	0	2
6	    opr	0	4	/
7	    lit	0	2
8	    opr	0	1	+
9	    lit	0	1
10	    opr	0	2	-
11	    opr	0	13	write
12	    lod	1	5
13	    lit	0	0
14	    opr	0	7	#
15	    jpc	0	31
16	    lod	1	3
17	    lod	1	4
18	    opr	0	4	/
19	sto	1	6
20	lod	1	3
21	lod	1	6
22	lod	1	4
23	opr	0	3	*
24	opr	0	2	-
25	sto	1	5
26	lod	1	4
27	sto	1	3
28	lod	1	5
29	sto	1	4
30	jmp	0	12
31	opr	0	0	return
32	int	0	3
33	lod	2	3
34	lit	0	1
35	opr	0	7	#
36	jpc	0	46
37	lod	2	3
38	lit	0	1
39	opr	0	2	-
40	sto	2	3
41	lod	2	4
42	lod	2	3
43	opr	0	3	*
44	sto	2	4
45	cal	1	32
46	opr	0	0	return
47	int	0	3
48	cal	0	32
49	lit	0	2
50	opr	0	5	odd
51	jpc	0	54
52	lit	0	2
53	opr	0	13	write
54	lit	0	2
55	lit	0	2
56	opr	0	6	=
57	jpc	0	62
58	lit	0	2
59	lit	0	1
60	opr	0	1	+
61	opr	0	13	write
62	opr	0	0	return
63	int	0	7
64	opr	0	12	read
65	sto	0	3
66	opr	0	12	read
67	sto	0	4
68	lod	0	3
69	lod	0	4
70	opr	0	8	<
71	jpc	0	78
72	lod	0	3
73	sto	0	5
74	lod	0	4
75	sto	0	3
76	lod	0	5
77	sto	0	4
78	lit	0	1
79	sto	0	5
80	cal	0	1
81	lit	0	2
82	opr	0	13	write
83	lit	0	2
84	lod	0	3
85	opr	0	3	*
86	opr	0	13	write
87	lit	0	2
88	lod	0	3
89	opr	0	3	*
90	lit	0	2
91	opr	0	4	/
92	opr	0	13	write
93	opr	0	12	read
94	sto	0	3
95	lod	0	3
96	sto	0	4
97	cal	0	47
98	lod	0	4
99	opr	0	13	write
100	opr	0	0	return

